#,Year,Title,Authors,Journal,Journal data,DOI
22,2021,Organic Matter from Redoximorphic Soils Accelerates and Sustains Microbial Fe(III) Reduction,"Andreas Fritzsche, Julian Bosch, Michael Sander, Christian Schröder, James M. Byrne, Thomas Ritschel, Prachi Joshi, Markus Maisch, Rainer U. Meckenstock, Andreas Kappler, Kai U. Totsche",Environmental Science & Technology,,https://doi.org/10.1021/acs.est.1c01183
23,2021,Using Zn and Ni behavior during magnetite precipitation in banded iron formations to determine its biological or abiotic origin,"Xiaohua Han, Elizabeth J. Tomaszewski, Ronny Schoenberg, Kurt O. Konhauser, Matthieu Amor, Yongxin Pan, Viola Warter, Andreas Kappler, James M. Byrne",Earth and Planetary Science Letters,,https://doi.org/10.1016/j.epsl.2021.117052
24,2021,Anaerobic Neutrophilic Pyrite Oxidation by a Chemolithoautotrophic Nitrate-Reducing Iron(II)-Oxidizing Culture Enriched from a Fractured Aquifer,"Natalia Jakus, Adrian Mellage, Carmen Höschen, Markus Maisch, James M. Byrne, Carsten W. Mueller, Peter Grathwohl, Andreas Kappler",Environmental Science & Technology,,https://doi.org/10.1021/acs.est.1c02049
25,2021,Mercury Reduction by Nanoparticulate Vivianite,"Marjorie Etique, Sylvain Bouchet, James M. Byrne, Laurel K. ThomasArrigo, Ralf Kaegi, Ruben Kretzschmar",Environmental Science & Technology,,https://doi.org/10.1021/acs.est.0c05203
26,2021,Iron mineral transformations and their impact on As (im)mobilization at redox interfaces in As-contaminated aquifers,"Agnes Kontny, Magnus Schneider, Elisabeth Eiche, Emiliano Stopelli, Martyna Glodowska, Bhasker Rathi, Jörg Göttlicher, James M. Byrne, Andreas Kappler, Michael Berg, Duyen Vu Thi, Pham T.K. Trang, Pham H. Viet, Thomas Neumann",Geochimica et Cosmochimica Acta,,https://doi.org/10.1016/j.gca.2020.12.029
27,2021,Bio-imaging with the helium-ion microscope: A review,"Matthias Schmidt, James M Byrne, Ilari J Maasilta",Beilstein Journal of Nanotechnology,,https://doi.org/10.3762/bjnano.12.1
28,2021,Chromium (VI) removal kinetics by magnetite-coated sand: Small-scale flow-through column experiments,"Julian Sorwat, Adrian Mellage, Markus Maisch, Andreas Kappler, Olaf A. Cirpka, James M. Byrne",Journal of Hazardous Materials,,https://doi.org/10.1016/j.jhazmat.2021.125648
29,2021,An evolving view on biogeochemical cycling of iron,"Andreas Kappler, Casey Bryce, Muammar Mansor, Ulf Lueder, James M. Byrne, Elizabeth D. Swanner",Nature Reviews Microbiology,,https://doi.org/10.1038/s41579-020-00502-7
30,2021,A biogeochemical–hydrological framework for the role of redox-active compounds in aquatic systems,"S. Peiffer, A. Kappler, S. B. Haderlein, C. Schmidt, J. M. Byrne, S. Kleindienst, C. Vogt, H. H. Richnow, M. Obst, L. T. Angenent, C. Bryce, C. McCammon, B. Planer-Friedrich",Nature Geoscience,,https://doi.org/10.1038/s41561-021-00742-z
31,2021,Diurnal Fe(II)/Fe(III) cycling and enhanced O2 production in a simulated Archean marine oxygen oasis,"A. J. Herrmann, J. Sorwat, J. M. Byrne, N. Frankenberg-Dinkel, M. M. Gehringer",Nature Communications,,https://doi.org/10.1038/s41467-021-22258-1
32,2021,Vertical redox zones of Fe–S–As coupled mineralogy in the sediments of Hetao Basin – Constraints for groundwater As contamination,"H.Y. Wang, J. Göttlicher, J.M. Byrne, H.M. Guo, L.G. Benning, S. Norra",Journal of Hazardous Materials,,https://doi.org/10.1016/j.jhazmat.2020.124924
33,2021,Potentially bioavailable iron produced through benthic cycling in glaciated Arctic fjords of Svalbard,"Katja Laufer-Meiser, Alexander B. Michaud, Markus Maisch, James M. Byrne, Andreas Kappler, Molly O. Patterson, Hans Røy, Bo Barker Jørgensen",Nature Communications,,https://doi.org/10.1038/s41467-021-21558-w
34,2021,"Mineralogical, geochemical and magnetic susceptibility data from a deep hydrothermally altered profile in a semi-arid region (Chilean Coastal Cordillera)","Ferdinand J. Hampl, Ferry Schiperski, James M. Byrne, Christopher Schwerdhelm, Andreas Kappler, Casey Bryce, Friedhelm von Blanckenburg, Thomas Neumann",,,https://doi.org/10.5880/FIDGEO.2021.037
35,2020,Iron mineral dissolution releases iron and associated organic carbon during permafrost thaw,"Monique Patzner, Carsten Mueller, Miroslava Malusova, Moritz Baur, Verena Nikeleit, Thomas Scholten, Carmen Hoeschen, James M Byrne, Thomas Borch, Andreas Kappler, Casey C Bryce",Nature Communications,,https://doi.org/10.1038/s41467-020-20102-6
36,2020,Arsenic sequestration in pyrite and greigite in the buried peat of As-contaminated aquifers,"H.Y. Wang, J.M. Byrne, J.P.H. Perez, A.N. Thomas, J. Göttlicher, H.E. Höfer, S. Mayanna, A. Kontny, A. Kappler, H.M. Guo, L.G. Benning, S. Norra",Geochimica et Cosmochimica Acta,,https://doi.org/10.1016/j.gca.2020.06.021
37,2020,Effect of Natural Organic Matter on the Fate of Cadmium During Microbial Ferrihydrite Reduction,"Zhe Zhou, E. Marie Muehe, Elizabeth J. Tomaszewski, Juan Lezama-Pacheco, Andreas Kappler, James M. Byrne",Environmental Science & Technology,,https://doi.org/10.1021/acs.est.0c03062
38,2020,Role of Iron Sulfide Phases in the Stability of Noncrystalline Tetravalent Uranium in Sediments,"Luca Loreggian, Julian Sorwat, James M. Byrne, Andreas Kappler, Rizlan Bernier-Latmani",Environmental Science & Technology,,https://doi.org/10.1021/acs.est.9b07186
39,2020,Effect of Microbial Biomass and Humic Acids on Abiotic and Biotic Magnetite Formation,"Xiaohua Han, Elizabeth J. Tomaszewski, Julian Sorwat, Yongxin Pan, Andreas Kappler, James M. Byrne",Environmental Science & Technology,,https://doi.org/10.1021/acs.est.9b07095
40,2020,Effect of Fe-metabolizing bacteria and humic substances on magnetite nanoparticle reactivity towards arsenic and chromium,"Anneli Sundman, Anna-Lena Vitzthum, Konstantin Adaktylos-Surber, Adriana I. Figueroa, Gerrit van der Laan, Birgit Daus, Andreas Kappler, James M. Byrne",Journal of Hazardous Materials,,https://doi.org/10.1016/j.jhazmat.2019.121450
41,2020,Complexation by cysteine and iron mineral adsorption limit cadmium mobility during metabolic activity of Geobacter sulfurreducens,"E. J. Tomaszewski, L. Olson, M. Obst, J. M. Byrne, A. Kappler, E. M. Muehe",Environmental Science: Processes & Impacts,,https://doi.org/10.1039/D0EM00244E
42,2020,Interactions of ferrous iron with clay mineral surfaces during sorption and subsequent oxidation,"Natacha Van Groeningen, Laurel K. ThomasArrigo, James M. Byrne, Andreas Kappler, Iso Christl, Ruben Kretzschmar",Environmental Science: Processes & Impacts,,https://doi.org/10.1039/D0EM00063A
